similarity_method,score,right_questions
ensemble,10,"[2, 3, 4, 7, 8, 16, 18, 20, 27, 45]"
token_set_ratio,9,"[2, 3, 4, 7, 8, 16, 18, 27, 45]"
partial_ratio,9,"[2, 7, 18, 20, 27, 28, 30, 40, 42]"
partial_token_sort_ratio,9,"[4, 7, 18, 20, 27, 28, 40, 45, 46]"
token_ratio,9,"[2, 3, 4, 7, 8, 16, 18, 27, 45]"
token_sort_ratio,3,"[3, 4, 8]"
ratio,2,"[8, 14]"
partial_token_set_ratio,2,"[20, 28]"
partial_token_ratio,2,"[20, 28]"
WRatio,2,"[20, 28]"
QRatio,2,"[8, 14]"
